3,4,5
5,12,13
7,24,25
8,15,17
9,40,41
11,60,61
12,35,37
13,84,85
15,112,113
16,63,65
17,144,145
19,180,181
20,21,29
20,99,101
21,220,221
23,264,265
24,143,145
25,312,313
27,364,365
28,45,53
28,195,197
29,420,421
31,480,481
32,255,257
33,56,65
33,544,545
35,612,613
36,77,85
36,323,325
37,684,685
39,80,89
39,760,761
40,399,401
41,840,841
43,924,925
44,117,125
44,483,485
45,1012,1013
47,1104,1105
48,575,577
48,55,73
49,1200,1201
51,140,149
51,1300,1301
52,165,173
52,675,677
53,1404,1405
55,1512,1513
56,783,785
57,176,185
57,1624,1625
59,1740,1741
60,91,109
60,899,901
60,221,229
61,1860,1861
63,1984,1985
64,1023,1025
65,2112,2113
65,72,97
67,2244,2245
68,1155,1157
68,285,293
69,260,269
69,2380,2381
71,2520,2521
72,1295,1297
73,2664,2665
75,2812,2813
75,308,317
76,357,365
76,1443,1445
77,2964,2965
79,3120,3121
80,1599,1601
81,3280,3281
83,3444,3445
84,187,205
84,437,445
84,1763,1765
85,3612,3613
85,132,157
87,3784,3785
87,416,425
88,1935,1937
88,105,137
89,3960,3961
91,4140,4141
92,525,533
92,2115,2117
93,476,485
93,4324,4325
95,168,193
95,4512,4513
96,247,265
96,2303,2305
97,4704,4705
99,4900,4901
100,2499,2501
100,621,629
101,5100,5101
103,5304,5305
104,2703,2705
104,153,185
105,608,617
105,208,233
105,5512,5513
107,5724,5725
108,725,733
108,2915,2917
109,5940,5941
111,680,689
111,6160,6161
112,3135,3137
113,6384,6385
115,6612,6613
115,252,277
116,837,845
116,3363,3365
117,6844,6845
119,7080,7081
119,120,169
120,391,409
120,209,241
120,3599,3601
121,7320,7321
123,7564,7565
123,836,845
124,957,965
124,3843,3845
125,7812,7813
127,8064,8065
128,4095,4097
129,920,929
129,8320,8321
131,8580,8581
132,4355,4357
132,475,493
132,1085,1093
133,8844,8845
133,156,205
135,9112,9113
135,352,377
136,4623,4625
136,273,305
137,9384,9385
139,9660,9661
140,171,221
140,1221,1229
140,4899,4901
141,9940,9941
141,1100,1109
143,10224,10225
144,5183,5185
145,408,433
145,10512,10513
147,1196,1205
147,10804,10805
148,1365,1373
148,5475,5477
149,11100,11101
151,11400,11401
152,345,377
152,5775,5777
153,11704,11705
155,468,493
155,12012,12013
156,6083,6085
156,667,685
156,1517,1525
157,12324,12325
159,1400,1409
159,12640,12641
160,6399,6401
160,231,281
161,240,289
161,12960,12961
163,13284,13285
164,6723,6725
164,1677,1685
165,532,557
165,1508,1517
165,13612,13613
167,13944,13945
168,425,457
168,775,793
168,7055,7057
169,14280,14281
171,14620,14621
172,1845,1853
172,7395,7397
173,14964,14965
175,288,337
175,15312,15313
176,7743,7745
177,1736,1745
177,15664,15665
179,16020,16021
180,8099,8101
180,299,349
180,2021,2029
181,16380,16381
183,1856,1865
183,16744,16745
184,513,545
184,8463,8465
185,17112,17113
185,672,697
187,17484,17485
188,8835,8837
188,2205,2213
189,340,389
189,17860,17861
191,18240,18241
192,9215,9217
192,1015,1033
193,18624,18625
195,2108,2117
195,748,773
195,19012,19013
196,2397,2405
196,9603,9605
197,19404,19405
199,19800,19801
200,9999,10001
200,609,641
201,2240,2249
201,20200,20201
203,20604,20605
203,396,445
204,2597,2605
204,1147,1165
204,10403,10405
204,253,325
205,21012,21013
205,828,853
207,224,305
207,21424,21425
208,10815,10817
209,21840,21841
211,22260,22261
212,11235,11237
212,2805,2813
213,22684,22685
213,2516,2525
215,912,937
215,23112,23113
216,713,745
216,11663,11665
217,23544,23545
217,456,505
219,23980,23981
219,2660,2669
220,459,509
220,12099,12101
220,3021,3029
221,24420,24421
223,24864,24865
224,12543,12545
225,272,353
225,25312,25313
227,25764,25765
228,1435,1453
228,3245,3253
228,325,397
228,12995,12997
229,26220,26221
231,2960,2969
231,520,569
231,26680,26681
232,13455,13457
232,825,857
233,27144,27145
235,1092,1117
235,27612,27613
236,3477,3485
236,13923,13925
237,3116,3125
237,28084,28085
239,28560,28561
240,14399,14401
240,1591,1609
240,551,601
241,29040,29041
243,29524,29525
244,14883,14885
244,3717,3725
245,1188,1213
245,30012,30013
247,30504,30505
248,15375,15377
248,945,977
249,3440,3449
249,31000,31001
251,31500,31501
252,15875,15877
252,275,373
252,3965,3973
253,32004,32005
255,32512,32513
255,1288,1313
255,3608,3617
256,16383,16385
257,33024,33025
259,660,709
259,33540,33541
260,4221,4229
260,651,701
260,16899,16901
261,34060,34061
261,380,461
263,34584,34585
264,1073,1105
264,17423,17425
264,1927,1945
265,1392,1417
265,35112,35113
267,35644,35645
267,3956,3965
268,17955,17957
268,4485,4493
269,36180,36181
271,36720,36721
272,18495,18497
273,4136,4145
273,37264,37265
273,736,785
275,37812,37813
276,19043,19045
276,4757,4765
276,2107,2125
276,493,565
277,38364,38365
279,38920,38921
279,440,521
280,351,449
280,1209,1241
280,19599,19601
280,759,809
281,39480,39481
283,40044,40045
284,20163,20165
284,5037,5045
285,1612,1637
285,40612,40613
285,4508,4517
287,816,865
287,41184,41185
288,20735,20737
289,41760,41761
291,4700,4709
291,42340,42341
292,21315,21317
292,5325,5333
293,42924,42925
295,1728,1753
295,43512,43513
296,1353,1385
296,21903,21905
297,44104,44105
297,304,425
299,44700,44701
300,5621,5629
300,2491,2509
300,22499,22501
300,589,661
301,900,949
301,45300,45301
303,5096,5105
303,45904,45905
304,23103,23105
305,1848,1873
305,46512,46513
307,47124,47125
308,23715,23717
308,435,533
308,5925,5933
309,47740,47741
309,5300,5309
311,48360,48361
312,1505,1537
312,2695,2713
312,24335,24337
313,48984,48985
315,49612,49613
315,1972,1997
315,988,1037
315,572,653
316,24963,24965
316,6237,6245
317,50244,50245
319,50880,50881
319,360,481
320,25599,25601
320,999,1049
321,51520,51521
321,5720,5729
323,52164,52165
324,26243,26245
324,6557,6565
325,52812,52813
327,53464,53465
327,5936,5945
328,26895,26897
328,1665,1697
329,1080,1129
329,54120,54121
331,54780,54781
332,27555,27557
332,6885,6893
333,644,725
333,55444,55445
335,56112,56113
335,2232,2257
336,3127,3145
336,377,505
336,527,625
336,28223,28225
337,56784,56785
339,57460,57461
339,6380,6389
340,1131,1181
340,7221,7229
340,28899,28901
341,420,541
341,58140,58141
343,58824,58825
344,1833,1865
344,29583,29585
345,59512,59513
345,6608,6617
345,2368,2393
347,60204,60205
348,30275,30277
348,7565,7573
348,3355,3373
348,805,877
349,60900,60901
351,61600,61601
352,30975,30977
353,62304,62305
355,2508,2533
355,63012,63013
356,7917,7925
356,31683,31685
357,1276,1325
357,63724,63725
357,7076,7085
359,64440,64441
360,32399,32401
360,2009,2041
360,1271,1321
361,65160,65161
363,7316,7325
363,65884,65885
364,627,725
364,33123,33125
364,8277,8285
